Index,k,QQ,x_b,t,phi_x,F,errF,F1,F2,ReH,ReE,ReHTilde
43, 2.75, 1.72395,0.355194,-0.285922,263.269,1.15413,0.126166,0.543877,0.776237,0.543877,0.776237,0.743344
44, 2.75, 1.72395,0.355194,-0.285922,267.684,1.22887,0.13597,0.543877,0.776237,0.543877,0.776237,0.743344
45, 2.75, 1.72395,0.355194,-0.285922,274.204,1.26988,0.139175,0.543877,0.776237,0.543877,0.776237,0.743344
46, 2.75, 1.72395,0.355194,-0.285922,285.637,1.53731,0.169998,0.543877,0.776237,0.543877,0.776237,0.743344
47, 2.75, 1.72395,0.355194,-0.285922,285.74,1.55566,0.170916,0.543877,0.776237,0.543877,0.776237,0.743344
48, 2.75, 1.72395,0.355194,-0.285922,295.437,1.4972,0.165301,0.543877,0.776237,0.543877,0.776237,0.743344
49, 2.75, 1.72395,0.355194,-0.285922,294.91,1.61132,0.177847,0.543877,0.776237,0.543877,0.776237,0.743344
50, 2.75, 1.72395,0.355194,-0.285922,304.464,2.23675,0.246854,0.543877,0.776237,0.543877,0.776237,0.743344
51, 2.75, 1.72395,0.355194,-0.285922,312.447,1.7561,0.192838,0.543877,0.776237,0.543877,0.776237,0.743344
52, 2.75, 1.72395,0.355194,-0.285922,316.604,1.85326,0.203553,0.543877,0.776237,0.543877,0.776237,0.743344
53, 2.75, 1.72395,0.355194,-0.285922,319.639,1.62125,0.178587,0.543877,0.776237,0.543877,0.776237,0.743344
54, 2.75, 1.72395,0.355194,-0.285922,328.262,2.02104,0.222918,0.543877,0.776237,0.543877,0.776237,0.743344
55, 2.75, 1.72395,0.355194,-0.285922,340.074,2.05405,0.22663,0.543877,0.776237,0.543877,0.776237,0.743344
56, 2.75, 1.72395,0.355194,-0.285922,341.718,2.2545,0.247748,0.543877,0.776237,0.543877,0.776237,0.743344
57, 2.75, 1.72395,0.355194,-0.285922,341.885,2.38358,0.262794,0.543877,0.776237,0.543877,0.776237,0.743344
58, 2.75, 1.72395,0.355194,-0.285922,351.918,2.29188,0.253158,0.543877,0.776237,0.543877,0.776237,0.743344
59, 2.75, 1.72395,0.355194,-0.285922,360.513,2.24603,0.248066,0.543877,0.776237,0.543877,0.776237,0.743344
0, 2.75, 1.74013,0.435095,-0.331591,3.89403,1.04318,0.115308,0.543877,0.776237,0.543877,0.776237,0.743344
1, 2.75, 1.74013,0.435095,-0.331591,15.8918,0.979934,0.107982,0.543877,0.776237,0.543877,0.776237,0.743344
2, 2.75, 1.74013,0.435095,-0.331591,18.982,1.02505,0.110871,0.543877,0.776237,0.543877,0.776237,0.743344
3, 2.75, 1.74013,0.435095,-0.331591,24.2912,0.731167,0.0804777,0.543877,0.776237,0.543877,0.776237,0.743344
4, 2.75, 1.74013,0.435095,-0.331591,27.3179,0.950781,0.105115,0.543877,0.776237,0.543877,0.776237,0.743344
5, 2.75, 1.74013,0.435095,-0.331591,34.6188,0.648547,0.0708234,0.543877,0.776237,0.543877,0.776237,0.743344
6, 2.75, 1.74013,0.435095,-0.331591,39.0519,0.665531,0.0733522,0.543877,0.776237,0.543877,0.776237,0.743344
7, 2.75, 1.74013,0.435095,-0.331591,46.2755,0.634518,0.0701938,0.543877,0.776237,0.543877,0.776237,0.743344
8, 2.75, 1.74013,0.435095,-0.331591,51.7619,0.517663,0.0573945,0.543877,0.776237,0.543877,0.776237,0.743344
9, 2.75, 1.74013,0.435095,-0.331591,60.448,0.406039,0.0454101,0.543877,0.776237,0.543877,0.776237,0.743344
10, 2.75, 1.74013,0.435095,-0.331591,63.6575,0.303327,0.0333172,0.543877,0.776237,0.543877,0.776237,0.743344
11, 2.75, 1.74013,0.435095,-0.331591,71.7576,0.342067,0.0382051,0.543877,0.776237,0.543877,0.776237,0.743344
12, 2.75, 1.74013,0.435095,-0.331591,76.6017,0.248128,0.0270602,0.543877,0.776237,0.543877,0.776237,0.743344
13, 2.75, 1.74013,0.435095,-0.331591,79.8233,0.287852,0.03192,0.543877,0.776237,0.543877,0.776237,0.743344
14, 2.75, 1.74013,0.435095,-0.331591,86.8119,0.241384,0.0254759,0.543877,0.776237,0.543877,0.776237,0.743344
15, 2.75, 1.74013,0.435095,-0.331591,92.4434,0.211576,0.0233241,0.543877,0.776237,0.543877,0.776237,0.743344
16, 2.75, 1.74013,0.435095,-0.331591,101.612,0.203199,0.0235249,0.543877,0.776237,0.543877,0.776237,0.743344
17, 2.75, 1.74013,0.435095,-0.331591,106.226,0.169745,0.0194523,0.543877,0.776237,0.543877,0.776237,0.743344
18, 2.75, 1.74013,0.435095,-0.331591,114.832,0.177999,0.0206732,0.543877,0.776237,0.543877,0.776237,0.743344
19, 2.75, 1.74013,0.435095,-0.331591,114.629,0.158605,0.0173713,0.543877,0.776237,0.543877,0.776237,0.743344
20, 2.75, 1.74013,0.435095,-0.331591,129.631,0.137518,0.0140455,0.543877,0.776237,0.543877,0.776237,0.743344
21, 2.75, 1.74013,0.435095,-0.331591,127.828,0.146238,0.0156715,0.543877,0.776237,0.543877,0.776237,0.743344
22, 2.75, 1.74013,0.435095,-0.331591,144.363,0.134383,0.0148848,0.543877,0.776237,0.543877,0.776237,0.743344
23, 2.75, 1.74013,0.435095,-0.331591,147.819,0.125891,0.0138533,0.543877,0.776237,0.543877,0.776237,0.743344
24, 2.75, 1.74013,0.435095,-0.331591,149.518,0.113902,0.0122176,0.543877,0.776237,0.543877,0.776237,0.743344
25, 2.75, 1.74013,0.435095,-0.331591,155.175,0.148815,0.0170249,0.543877,0.776237,0.543877,0.776237,0.743344
26, 2.75, 1.74013,0.435095,-0.331591,156.826,0.143266,0.0161228,0.543877,0.776237,0.543877,0.776237,0.743344
27, 2.75, 1.74013,0.435095,-0.331591,165.758,0.117375,0.0141699,0.543877,0.776237,0.543877,0.776237,0.743344
28, 2.75, 1.74013,0.435095,-0.331591,171.192,0.120439,0.0132741,0.543877,0.776237,0.543877,0.776237,0.743344
29, 2.75, 1.74013,0.435095,-0.331591,174.732,0.131587,0.0148344,0.543877,0.776237,0.543877,0.776237,0.743344
30, 2.75, 1.74013,0.435095,-0.331591,183.655,0.129602,0.0140107,0.543877,0.776237,0.543877,0.776237,0.743344
31, 2.75, 1.74013,0.435095,-0.331591,191.064,0.126925,0.0130759,0.543877,0.776237,0.543877,0.776237,0.743344
32, 2.75, 1.74013,0.435095,-0.331591,192.845,0.097569,0.0102349,0.543877,0.776237,0.543877,0.776237,0.743344
33, 2.75, 1.74013,0.435095,-0.331591,202.416,0.114573,0.0143808,0.543877,0.776237,0.543877,0.776237,0.743344
34, 2.75, 1.74013,0.435095,-0.331591,209.779,0.14201,0.0165091,0.543877,0.776237,0.543877,0.776237,0.743344
35, 2.75, 1.74013,0.435095,-0.331591,211.1,0.104803,0.0113101,0.543877,0.776237,0.543877,0.776237,0.743344
36, 2.75, 1.74013,0.435095,-0.331591,219.229,0.10766,0.0114473,0.543877,0.776237,0.543877,0.776237,0.743344
37, 2.75, 1.74013,0.435095,-0.331591,224.127,0.124537,0.0133214,0.543877,0.776237,0.543877,0.776237,0.743344
38, 2.75, 1.74013,0.435095,-0.331591,238.508,0.148998,0.0159857,0.543877,0.776237,0.543877,0.776237,0.743344
39, 2.75, 1.74013,0.435095,-0.331591,239.643,0.169889,0.0191726,0.543877,0.776237,0.543877,0.776237,0.743344
40, 2.75, 1.74013,0.435095,-0.331591,243.322,0.156743,0.0174616,0.543877,0.776237,0.543877,0.776237,0.743344
41, 2.75, 1.74013,0.435095,-0.331591,251.684,0.164686,0.0171617,0.543877,0.776237,0.543877,0.776237,0.743344
42, 2.75, 1.74013,0.435095,-0.331591,256.97,0.187171,0.0208893,0.543877,0.776237,0.543877,0.776237,0.743344
43, 2.75, 1.74013,0.435095,-0.331591,267.509,0.220246,0.0245965,0.543877,0.776237,0.543877,0.776237,0.743344
44, 2.75, 1.74013,0.435095,-0.331591,267.162,0.219692,0.0255758,0.543877,0.776237,0.543877,0.776237,0.743344
45, 2.75, 1.74013,0.435095,-0.331591,274.969,0.260671,0.0272795,0.543877,0.776237,0.543877,0.776237,0.743344
46, 2.75, 1.74013,0.435095,-0.331591,278.526,0.311655,0.0334862,0.543877,0.776237,0.543877,0.776237,0.743344
47, 2.75, 1.74013,0.435095,-0.331591,285.211,0.276966,0.0303947,0.543877,0.776237,0.543877,0.776237,0.743344
48, 2.75, 1.74013,0.435095,-0.331591,288.478,0.313182,0.0358465,0.543877,0.776237,0.543877,0.776237,0.743344
49, 2.75, 1.74013,0.435095,-0.331591,303.476,0.336882,0.0361915,0.543877,0.776237,0.543877,0.776237,0.743344
50, 2.75, 1.74013,0.435095,-0.331591,303.402,0.459361,0.048646,0.543877,0.776237,0.543877,0.776237,0.743344
51, 2.75, 1.74013,0.435095,-0.331591,312.585,0.505675,0.0557171,0.543877,0.776237,0.543877,0.776237,0.743344
52, 2.75, 1.74013,0.435095,-0.331591,314.374,0.515731,0.0577665,0.543877,0.776237,0.543877,0.776237,0.743344
53, 2.75, 1.74013,0.435095,-0.331591,323.77,0.766482,0.0831645,0.543877,0.776237,0.543877,0.776237,0.743344
54, 2.75, 1.74013,0.435095,-0.331591,332.32,0.716261,0.0787457,0.543877,0.776237,0.543877,0.776237,0.743344
55, 2.75, 1.74013,0.435095,-0.331591,330.324,0.64129,0.0708873,0.543877,0.776237,0.543877,0.776237,0.743344
56, 2.75, 1.74013,0.435095,-0.331591,342.634,0.941601,0.104586,0.543877,0.776237,0.543877,0.776237,0.743344
57, 2.75, 1.74013,0.435095,-0.331591,344.361,1.25843,0.139,0.543877,0.776237,0.543877,0.776237,0.743344
58, 2.75, 1.74013,0.435095,-0.331591,351.373,1.11043,0.12236,0.543877,0.776237,0.543877,0.776237,0.743344
59, 2.75, 1.74013,0.435095,-0.331591,355.898,1.16023,0.127633,0.543877,0.776237,0.543877,0.776237,0.743344
0, 2.75, 2.07387,0.436939,-0.253872,0.596535,12.99,1.42953,0.543877,0.776237,0.543877,0.776237,0.743344
1, 2.75, 2.07387,0.436939,-0.253872,12.3608,12.2785,1.35253,0.543877,0.776237,0.543877,0.776237,0.743344
2, 2.75, 2.07387,0.436939,-0.253872,14.1092,12.5745,1.38447,0.543877,0.776237,0.543877,0.776237,0.743344
3, 2.75, 2.07387,0.436939,-0.253872,25.1399,8.76968,0.965603,0.543877,0.776237,0.543877,0.776237,0.743344
4, 2.75, 2.07387,0.436939,-0.253872,34.6822,6.68218,0.735978,0.543877,0.776237,0.543877,0.776237,0.743344
5, 2.75, 2.07387,0.436939,-0.253872,34.1462,6.01344,0.661295,0.543877,0.776237,0.543877,0.776237,0.743344
6, 2.75, 2.07387,0.436939,-0.253872,46.7002,5.63745,0.621939,0.543877,0.776237,0.543877,0.776237,0.743344
7, 2.75, 2.07387,0.436939,-0.253872,45.4422,5.41459,0.595126,0.543877,0.776237,0.543877,0.776237,0.743344
8, 2.75, 2.07387,0.436939,-0.253872,61.6447,3.34876,0.36831,0.543877,0.776237,0.543877,0.776237,0.743344
9, 2.75, 2.07387,0.436939,-0.253872,59.1264,4.15687,0.458115,0.543877,0.776237,0.543877,0.776237,0.743344
10, 2.75, 2.07387,0.436939,-0.253872,63.385,2.94052,0.325008,0.543877,0.776237,0.543877,0.776237,0.743344
11, 2.75, 2.07387,0.436939,-0.253872,75.6872,2.80275,0.308958,0.543877,0.776237,0.543877,0.776237,0.743344
12, 2.75, 2.07387,0.436939,-0.253872,79.4801,2.71227,0.299572,0.543877,0.776237,0.543877,0.776237,0.743344
13, 2.75, 2.07387,0.436939,-0.253872,89.8243,2.55414,0.280781,0.543877,0.776237,0.543877,0.776237,0.743344
14, 2.75, 2.07387,0.436939,-0.253872,84.8018,2.50619,0.274386,0.543877,0.776237,0.543877,0.776237,0.743344
15, 2.75, 2.07387,0.436939,-0.253872,93.9506,2.24109,0.246703,0.543877,0.776237,0.543877,0.776237,0.743344
16, 2.75, 2.07387,0.436939,-0.253872,100.17,1.94789,0.21521,0.543877,0.776237,0.543877,0.776237,0.743344
17, 2.75, 2.07387,0.436939,-0.253872,103.2,2.0106,0.219818,0.543877,0.776237,0.543877,0.776237,0.743344
18, 2.75, 2.07387,0.436939,-0.253872,109.969,1.93485,0.212615,0.543877,0.776237,0.543877,0.776237,0.743344
19, 2.75, 2.07387,0.436939,-0.253872,116.992,1.73548,0.189936,0.543877,0.776237,0.543877,0.776237,0.743344
20, 2.75, 2.07387,0.436939,-0.253872,126.744,1.96486,0.216768,0.543877,0.776237,0.543877,0.776237,0.743344
21, 2.75, 2.07387,0.436939,-0.253872,130.723,1.44378,0.159139,0.543877,0.776237,0.543877,0.776237,0.743344
22, 2.75, 2.07387,0.436939,-0.253872,135.901,1.8599,0.203613,0.543877,0.776237,0.543877,0.776237,0.743344
23, 2.75, 2.07387,0.436939,-0.253872,146.663,1.24672,0.138469,0.543877,0.776237,0.543877,0.776237,0.743344
24, 2.75, 2.07387,0.436939,-0.253872,148.688,1.41275,0.155336,0.543877,0.776237,0.543877,0.776237,0.743344
25, 2.75, 2.07387,0.436939,-0.253872,156.643,1.47304,0.161231,0.543877,0.776237,0.543877,0.776237,0.743344
26, 2.75, 2.07387,0.436939,-0.253872,160.54,1.35027,0.149101,0.543877,0.776237,0.543877,0.776237,0.743344
27, 2.75, 2.07387,0.436939,-0.253872,169.62,1.41574,0.155037,0.543877,0.776237,0.543877,0.776237,0.743344
28, 2.75, 2.07387,0.436939,-0.253872,175.78,1.51821,0.166203,0.543877,0.776237,0.543877,0.776237,0.743344
29, 2.75, 2.07387,0.436939,-0.253872,172.134,1.59869,0.174394,0.543877,0.776237,0.543877,0.776237,0.743344
30, 2.75, 2.07387,0.436939,-0.253872,179.473,1.21449,0.132565,0.543877,0.776237,0.543877,0.776237,0.743344
31, 2.75, 2.07387,0.436939,-0.253872,192.341,1.19848,0.131651,0.543877,0.776237,0.543877,0.776237,0.743344
32, 2.75, 2.07387,0.436939,-0.253872,196.295,1.30772,0.14313,0.543877,0.776237,0.543877,0.776237,0.743344
33, 2.75, 2.07387,0.436939,-0.253872,203.292,1.15168,0.126805,0.543877,0.776237,0.543877,0.776237,0.743344
34, 2.75, 2.07387,0.436939,-0.253872,210.577,1.58895,0.17479,0.543877,0.776237,0.543877,0.776237,0.743344
35, 2.75, 2.07387,0.436939,-0.253872,220.244,1.47402,0.164186,0.543877,0.776237,0.543877,0.776237,0.743344
36, 2.75, 2.07387,0.436939,-0.253872,218.809,1.37931,0.152048,0.543877,0.776237,0.543877,0.776237,0.743344
37, 2.75, 2.07387,0.436939,-0.253872,224.963,1.8077,0.199122,0.543877,0.776237,0.543877,0.776237,0.743344
38, 2.75, 2.07387,0.436939,-0.253872,231.33,1.63853,0.180276,0.543877,0.776237,0.543877,0.776237,0.743344
39, 2.75, 2.07387,0.436939,-0.253872,240.11,1.62908,0.178982,0.543877,0.776237,0.543877,0.776237,0.743344
40, 2.75, 2.07387,0.436939,-0.253872,245.42,1.76912,0.195731,0.543877,0.776237,0.543877,0.776237,0.743344
41, 2.75, 2.07387,0.436939,-0.253872,253.556,1.84123,0.202512,0.543877,0.776237,0.543877,0.776237,0.743344
42, 2.75, 2.07387,0.436939,-0.253872,256.256,2.01728,0.221172,0.543877,0.776237,0.543877,0.776237,0.743344
43, 2.75, 2.07387,0.436939,-0.253872,263.816,2.00639,0.219879,0.543877,0.776237,0.543877,0.776237,0.743344
44, 2.75, 2.07387,0.436939,-0.253872,264.052,2.1045,0.229261,0.543877,0.776237,0.543877,0.776237,0.743344
45, 2.75, 2.07387,0.436939,-0.253872,271.511,2.42022,0.26776,0.543877,0.776237,0.543877,0.776237,0.743344
46, 2.75, 2.07387,0.436939,-0.253872,281.633,2.72646,0.300036,0.543877,0.776237,0.543877,0.776237,0.743344
47, 2.75, 2.07387,0.436939,-0.253872,286.776,2.87905,0.317482,0.543877,0.776237,0.543877,0.776237,0.743344
48, 2.75, 2.07387,0.436939,-0.253872,296.29,3.39165,0.374036,0.543877,0.776237,0.543877,0.776237,0.743344
49, 2.75, 2.07387,0.436939,-0.253872,300.551,3.39796,0.374351,0.543877,0.776237,0.543877,0.776237,0.743344
50, 2.75, 2.07387,0.436939,-0.253872,304.596,5.05251,0.55565,0.543877,0.776237,0.543877,0.776237,0.743344
51, 2.75, 2.07387,0.436939,-0.253872,306.414,4.6825,0.514957,0.543877,0.776237,0.543877,0.776237,0.743344
52, 2.75, 2.07387,0.436939,-0.253872,318.315,7.03675,0.775738,0.543877,0.776237,0.543877,0.776237,0.743344
53, 2.75, 2.07387,0.436939,-0.253872,322.309,7.15119,0.789178,0.543877,0.776237,0.543877,0.776237,0.743344
54, 2.75, 2.07387,0.436939,-0.253872,324.51,6.90057,0.75888,0.543877,0.776237,0.543877,0.776237,0.743344
55, 2.75, 2.07387,0.436939,-0.253872,335.034,8.6314,0.949996,0.543877,0.776237,0.543877,0.776237,0.743344
56, 2.75, 2.07387,0.436939,-0.253872,344.022,11.7541,1.29443,0.543877,0.776237,0.543877,0.776237,0.743344
57, 2.75, 2.07387,0.436939,-0.253872,344.353,11.0905,1.22101,0.543877,0.776237,0.543877,0.776237,0.743344
58, 2.75, 2.07387,0.436939,-0.253872,360.12,10.1872,1.12087,0.543877,0.776237,0.543877,0.776237,0.743344
59, 2.75, 2.07387,0.436939,-0.253872,359.386,11.8416,1.30231,0.543877,0.776237,0.543877,0.776237,0.743344
0, 3.75, 1.75283,0.347765,-0.302851,3.89284,1.08936,0.120549,0.543877,0.776237,0.543877,0.776237,0.743344
1, 3.75, 1.75283,0.347765,-0.302851,10.7327,1.12799,0.124423,0.543877,0.776237,0.543877,0.776237,0.743344
2, 3.75, 1.75283,0.347765,-0.302851,11.6695,1.03541,0.110957,0.543877,0.776237,0.543877,0.776237,0.743344
3, 3.75, 1.75283,0.347765,-0.302851,20.2818,0.872237,0.0956975,0.543877,0.776237,0.543877,0.776237,0.743344
4, 3.75, 1.75283,0.347765,-0.302851,27.0325,0.595698,0.0662133,0.543877,0.776237,0.543877,0.776237,0.743344
5, 3.75, 1.75283,0.347765,-0.302851,28.5325,0.62443,0.0666701,0.543877,0.776237,0.543877,0.776237,0.743344
6, 3.75, 1.75283,0.347765,-0.302851,39.5733,0.457947,0.0500898,0.543877,0.776237,0.543877,0.776237,0.743344
7, 3.75, 1.75283,0.347765,-0.302851,46.282,0.389224,0.0450408,0.543877,0.776237,0.543877,0.776237,0.743344
8, 3.75, 1.75283,0.347765,-0.302851,53.4434,0.358851,0.0413697,0.543877,0.776237,0.543877,0.776237,0.743344
9, 3.75, 1.75283,0.347765,-0.302851,61.6608,0.250126,0.0258945,0.543877,0.776237,0.543877,0.776237,0.743344
10, 3.75, 1.75283,0.347765,-0.302851,65.8672,0.24809,0.0271906,0.543877,0.776237,0.543877,0.776237,0.743344
11, 3.75, 1.75283,0.347765,-0.302851,73.7734,0.182183,0.0190568,0.543877,0.776237,0.543877,0.776237,0.743344
12, 3.75, 1.75283,0.347765,-0.302851,80.0161,0.17571,0.0199367,0.543877,0.776237,0.543877,0.776237,0.743344
13, 3.75, 1.75283,0.347765,-0.302851,80.1072,0.173754,0.0184893,0.543877,0.776237,0.543877,0.776237,0.743344
14, 3.75, 1.75283,0.347765,-0.302851,88.3639,0.137049,0.0166128,0.543877,0.776237,0.543877,0.776237,0.743344
15, 3.75, 1.75283,0.347765,-0.302851,89.8902,0.129949,0.0146331,0.543877,0.776237,0.543877,0.776237,0.743344
16, 3.75, 1.75283,0.347765,-0.302851,99.1204,0.13296,0.0140494,0.543877,0.776237,0.543877,0.776237,0.743344
17, 3.75, 1.75283,0.347765,-0.302851,109.668,0.0904742,0.00891275,0.543877,0.776237,0.543877,0.776237,0.743344
18, 3.75, 1.75283,0.347765,-0.302851,116.432,0.0986311,0.00955083,0.543877,0.776237,0.543877,0.776237,0.743344
19, 3.75, 1.75283,0.347765,-0.302851,120.022,0.109192,0.0118184,0.543877,0.776237,0.543877,0.776237,0.743344
20, 3.75, 1.75283,0.347765,-0.302851,123.194,0.0862531,0.0105907,0.543877,0.776237,0.543877,0.776237,0.743344
21, 3.75, 1.75283,0.347765,-0.302851,129.367,0.103049,0.0108051,0.543877,0.776237,0.543877,0.776237,0.743344
22, 3.75, 1.75283,0.347765,-0.302851,133.513,0.0790545,0.00787097,0.543877,0.776237,0.543877,0.776237,0.743344
23, 3.75, 1.75283,0.347765,-0.302851,143.295,0.079328,0.00722023,0.543877,0.776237,0.543877,0.776237,0.743344
24, 3.75, 1.75283,0.347765,-0.302851,149.499,0.0646891,0.0082688,0.543877,0.776237,0.543877,0.776237,0.743344
25, 3.75, 1.75283,0.347765,-0.302851,154.06,0.083081,0.0096611,0.543877,0.776237,0.543877,0.776237,0.743344
26, 3.75, 1.75283,0.347765,-0.302851,157.457,0.0908044,0.00954387,0.543877,0.776237,0.543877,0.776237,0.743344
27, 3.75, 1.75283,0.347765,-0.302851,167.289,0.0714435,0.00754697,0.543877,0.776237,0.543877,0.776237,0.743344
28, 3.75, 1.75283,0.347765,-0.302851,177.416,0.0647338,0.007436,0.543877,0.776237,0.543877,0.776237,0.743344
29, 3.75, 1.75283,0.347765,-0.302851,182.525,0.0660384,0.00640218,0.543877,0.776237,0.543877,0.776237,0.743344
30, 3.75, 1.75283,0.347765,-0.302851,185.644,0.0757676,0.00741251,0.543877,0.776237,0.543877,0.776237,0.743344
31, 3.75, 1.75283,0.347765,-0.302851,186.798,0.0674439,0.0091526,0.543877,0.776237,0.543877,0.776237,0.743344
32, 3.75, 1.75283,0.347765,-0.302851,197.674,0.0749568,0.0081796,0.543877,0.776237,0.543877,0.776237,0.743344
33, 3.75, 1.75283,0.347765,-0.302851,203.592,0.0728738,0.0106768,0.543877,0.776237,0.543877,0.776237,0.743344
34, 3.75, 1.75283,0.347765,-0.302851,209.389,0.0761041,0.00819247,0.543877,0.776237,0.543877,0.776237,0.743344
35, 3.75, 1.75283,0.347765,-0.302851,211.383,0.0614204,0.00785736,0.543877,0.776237,0.543877,0.776237,0.743344
36, 3.75, 1.75283,0.347765,-0.302851,216.059,0.0816242,0.00804147,0.543877,0.776237,0.543877,0.776237,0.743344
37, 3.75, 1.75283,0.347765,-0.302851,221.72,0.0872804,0.00952438,0.543877,0.776237,0.543877,0.776237,0.743344
